candidate,office,district,party,county,precinct,votes,vtd
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-7,220,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-7,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-7,124,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-7,19,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-7,18,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-7,215,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-7,137,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-7,139,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-7,232,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-7,221,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-7,146,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-7,221,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-7,149,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 9-7,260,
,Registered Voters,,,Wyandotte,Kansas City 9-8,449,
,Ballots Cast,,,Wyandotte,Kansas City 9-8,261,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-8,7,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-8,186,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-8,65,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-8,3,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-8,191,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-8,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-8,51,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-8,11,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-8,5,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-8,176,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-8,72,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-8,64,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-8,192,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-8,188,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-8,65,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-8,187,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-8,69,
Tom Burroughs,State House,33,Democratic,Wyandotte,Kansas City 9-8,199,
Jason Conley,State House,33,Libertarian,Wyandotte,Kansas City 9-8,36,
,Registered Voters,,,Wyandotte,Kansas City 9-9,366,
,Ballots Cast,,,Wyandotte,Kansas City 9-9,159,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-9,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-9,90,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-9,59,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-9,3,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-9,89,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-9,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-9,56,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-9,9,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-9,6,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-9,90,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-9,59,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-9,65,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-9,89,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-9,89,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-9,64,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-9,92,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-9,60,
Tom Burroughs,State House,33,Democratic,Wyandotte,Kansas City 9-9,102,
Jason Conley,State House,33,Libertarian,Wyandotte,Kansas City 9-9,33,
,Registered Voters,,,Wyandotte,Kansas City 9-10,949,
,Ballots Cast,,,Wyandotte,Kansas City 9-10,553,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-10,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-10,376,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-10,163,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-10,18,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-10,362,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-10,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-10,148,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-10,19,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-10,26,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-10,350,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-10,163,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-10,171,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-10,367,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-10,364,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-10,166,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-10,356,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-10,174,
Tom Burroughs,State House,33,Democratic,Wyandotte,Kansas City 9-10,380,
Jason Conley,State House,33,Libertarian,Wyandotte,Kansas City 9-10,108,
,Registered Voters,,,Wyandotte,Kansas City 9-11,1111,
,Ballots Cast,,,Wyandotte,Kansas City 9-11,591,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-11,18,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-11,447,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-11,119,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-11,33,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-11,438,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-11,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-11,92,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-11,20,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-11,23,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-11,428,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-11,120,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-11,119,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-11,459,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-11,455,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-11,115,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-11,450,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-11,121,
Tom Burroughs,State House,33,Democratic,Wyandotte,Kansas City 9-11,448,
Jason Conley,State House,33,Libertarian,Wyandotte,Kansas City 9-11,97,
,Registered Voters,,,Wyandotte,Kansas City 9-12,953,
,Ballots Cast,,,Wyandotte,Kansas City 9-12,490,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-12,20,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-12,288,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-12,180,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-12,20,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-12,273,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-12,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-12,161,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-12,29,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-12,24,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-12,270,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-12,179,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-12,185,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-12,295,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-12,284,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-12,192,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-12,282,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-12,191,
Tom Burroughs,State House,33,Democratic,Wyandotte,Kansas City 9-12,305,
Jason Conley,State House,33,Libertarian,Wyandotte,Kansas City 9-12,116,
,Registered Voters,,,Wyandotte,Kansas City 9-13,691,
,Ballots Cast,,,Wyandotte,Kansas City 9-13,290,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-13,13,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-13,159,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-13,115,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-13,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-13,146,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-13,4,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-13,107,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-13,23,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-13,15,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-13,141,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-13,130,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-13,128,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-13,157,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-13,155,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-13,124,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-13,151,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-13,127,
Tom Burroughs,State House,33,Democratic,Wyandotte,Kansas City 9-13,176,
Jason Conley,State House,33,Libertarian,Wyandotte,Kansas City 9-13,71,
,Registered Voters,,,Wyandotte,Kansas City 9-14,839,
,Ballots Cast,,,Wyandotte,Kansas City 9-14,464,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-14,19,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-14,240,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-14,204,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-14,9,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-14,250,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-14,4,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-14,188,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-14,11,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-14,17,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-14,224,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-14,211,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-14,209,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-14,243,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-14,238,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-14,214,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-14,231,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-14,215,
Tom Burroughs,State House,33,Democratic,Wyandotte,Kansas City 9-14,270,
Jason Conley,State House,33,Libertarian,Wyandotte,Kansas City 9-14,119,
,Registered Voters,,,Wyandotte,Kansas City 9-15,0,
,Ballots Cast,,,Wyandotte,Kansas City 9-15,0,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-15,0,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-15,0,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-15,0,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-15,0,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-15,0,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-15,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-15,0,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-15,0,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-15,0,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-15,0,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-15,0,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-15,0,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-15,0,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-15,0,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-15,0,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-15,0,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-15,0,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 9-15,0,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 9-15,0,
,Registered Voters,,,Wyandotte,Kansas City 9-16,1884,
,Ballots Cast,,,Wyandotte,Kansas City 9-16,914,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-16,22,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-16,586,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-16,300,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-16,22,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-16,597,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-16,7,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-16,249,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-16,35,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-16,38,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-16,555,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-16,313,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-16,319,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-16,580,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-16,574,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-16,326,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-16,539,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-16,360,
Tom Burroughs,State House,33,Democratic,Wyandotte,Kansas City 9-16,603,
Jason Conley,State House,33,Libertarian,Wyandotte,Kansas City 9-16,213,
,Registered Voters,,,Wyandotte,Kansas City 10-1,840,
,Ballots Cast,,,Wyandotte,Kansas City 10-1,382,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 10-1,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 10-1,360,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 10-1,14,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 10-1,15,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 10-1,337,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 10-1,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 10-1,12,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 10-1,12,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 10-1,7,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 10-1,347,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 10-1,15,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 10-1,21,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 10-1,352,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 10-1,344,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 10-1,20,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 10-1,350,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 10-1,18,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 10-1,355,
,Registered Voters,,,Wyandotte,Kansas City 10-2,1339,
,Ballots Cast,,,Wyandotte,Kansas City 10-2,593,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 10-2,19,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 10-2,541,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 10-2,25,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 10-2,27,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 10-2,514,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 10-2,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 10-2,28,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 10-2,12,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 10-2,19,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 10-2,522,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 10-2,34,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 10-2,42,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 10-2,535,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 10-2,531,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 10-2,41,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 10-2,537,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 10-2,45,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 10-2,543,
,Registered Voters,,,Wyandotte,Kansas City 10-3,67,
,Ballots Cast,,,Wyandotte,Kansas City 10-3,29,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 10-3,0,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 10-3,28,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 10-3,1,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 10-3,0,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 10-3,28,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 10-3,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 10-3,1,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 10-3,0,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 10-3,0,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 10-3,28,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 10-3,1,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 10-3,1,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 10-3,28,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 10-3,28,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 10-3,1,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 10-3,28,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 10-3,1,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 10-3,25,
,Registered Voters,,,Wyandotte,Kansas City 10-4,544,
,Ballots Cast,,,Wyandotte,Kansas City 10-4,223,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 10-4,5,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 10-4,191,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 10-4,24,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 10-4,12,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 10-4,177,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 10-4,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 10-4,20,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 10-4,10,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 10-4,4,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 10-4,194,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 10-4,22,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 10-4,27,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 10-4,191,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 10-4,187,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 10-4,28,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 10-4,188,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 10-4,28,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 10-4,189,
,Registered Voters,,,Wyandotte,Kansas City 10-5,930,
,Ballots Cast,,,Wyandotte,Kansas City 10-5,468,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 10-5,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 10-5,383,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 10-5,71,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 10-5,16,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 10-5,374,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 10-5,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 10-5,56,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 10-5,16,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 10-5,20,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 10-5,361,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 10-5,70,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 10-5,82,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 10-5,383,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 10-5,388,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 10-5,73,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 10-5,373,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 10-5,87,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 10-5,385,
,Registered Voters,,,Wyandotte,Kansas City 11-1,916,
,Ballots Cast,,,Wyandotte,Kansas City 11-1,437,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-1,8,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-1,370,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-1,54,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-1,14,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-1,350,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-1,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-1,51,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-1,14,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 11-1,4,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 11-1,359,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 11-1,60,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 11-1,61,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 11-1,369,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 11-1,359,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 11-1,65,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 11-1,361,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 11-1,64,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 11-1,376,
,Registered Voters,,,Wyandotte,Kansas City 11-2,734,
,Ballots Cast,,,Wyandotte,Kansas City 11-2,345,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 11-2,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 11-2,305,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 11-2,32,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 11-2,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 11-2,292,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 11-2,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 11-2,31,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 11-2,11,
